1,Al2 O3_R-3c,Rhombohedral,4.761,4.761,12.999,90.00,90.00,120.00
0,1,2,0.0,65.76576576576578
1,0,4,0.0,100.0
1,1,0,0.0,46.146146146146144
0,0,6,0.0,0.40040040040040037
1,1,3,0.0,95.5955955955956
2,0,2,0.0,1.5015015015015014
0,2,4,0.0,44.54454454454454
1,1,6,0.0,87.78778778778779
2,1,1,0.0,2.1021021021021022
1,2,2,0.0,3.203203203203203
0,1,8,0.0,6.306306306306306
2,1,4,0.0,31.131131131131127
3,0,0,0.0,47.847847847847845
1,2,5,0.0,0.9009009009009009
2,0,8,0.0,1.1011011011011012
1,0,10,0.0,12.812812812812812
1,1,9,0.0,7.007007007007007
2,1,7,0.0,0.6006006006006006
2,2,0,0.0,4.704704704704705
0,3,6,0.0,0.5005005005005005
2,2,3,0.0,3.903903903903904
1,3,1,0.0,0.20020020020020018
3,1,2,0.0,2.8028028028028027
1,2,8,0.0,2.1021021021021022
0,2,10,0.0,5.205205205205205
0,0,12,0.0,1.3013013013013013
1,3,4,0.0,5.905905905905906
3,1,5,0.0,0.3003003003003003
2,2,6,0.0,11.511511511511511
0,4,2,0.0,1.4014014014014013
2,1,10,0.0,8.008008008008009
1,1,12,0.0,0.20020020020020018
4,0,4,0.0,1.4014014014014013
1,3,7,0.0,0.10010010010010009
3,2,1,0.0,0.3003003003003003
1,2,11,0.0,0.20020020020020018
3,1,8,0.0,2.002002002002002
2,2,9,0.0,1.5015015015015014
3,2,4,0.0,6.606606606606606
0,1,14,0.0,2.4024024024024024
4,1,0,0.0,3.7037037037037033
2,3,5,0.0,0.20020020020020018
4,1,3,0.0,2.2022022022022023
0,4,8,0.0,1.3013013013013013
1,3,10,0.0,7.107107107107106
0,3,12,0.0,2.902902902902903
2,0,14,0.0,2.7027027027027026
3,2,7,0.0,0.20020020020020018
2,1,13,0.0,0.10010010010010009
1,4,6,0.0,10.31031031031031
3,1,11,0.0,0.10010010010010009
2,3,8,0.0,0.3003003003003003
1,1,15,0.0,1.3013013013013013
4,0,10,0.0,3.903903903903904
2,2,12,0.0,0.10010010010010009
0,5,4,0.0,2.6026026026026026
1,2,14,0.0,4.3043043043043046#
2,Li2 O_Fm-3m,Cubic,4.611,4.611,4.611,90.00,90.00,90.00
1,1,1,0.0,100.0
2,0,0,0.0,5.805805805805806
2,2,0,0.0,56.85685685685685
3,1,1,0.0,16.016016016016017
2,2,2,0.0,0.10010010010010009
4,0,0,0.0,5.105105105105105
3,3,1,0.0,3.8038038038038042
4,2,0,0.0,0.10010010010010009
4,2,2,0.0,8.508508508508509
5,1,1,0.0,2.7027027027027026
4,4,0,0.0,2.902902902902903#
3,Fe2 O3_R-3cH,trigonal,5.038,5.038,13.772,90.0,90.0,120.0
1,0,-2,17.048320809289628,7.88080196300112
1,-1,-4,23.24691559579027,26.274607814994656
2,-1,0,24.943173113059093,18.423098593944964
0,0,6,27.3737379052262,0.40289018231344753
2,-1,3,28.451577577948793,6.51724901084145
2,-2,-2,30.212698114608894,0.5005017835177779
2,0,-4,34.096641618579255,10.842583339200637
2,-1,-6,37.033544413842584,13.525005802012263
3,-2,-1,38.37350064480945,0.16954842009928486
3,-1,-2,39.178680584120315,0.6761038385653204
1,0,-8,39.23664682313148,2.5235019846664253
3,-1,4,42.2462170450073,9.173033020313953
3,-3,0,43.20284313380431,9.070243363925982
3,-1,-5,44.40803121440838,0.08488770092301487
2,-2,-8,46.49383119158054,0.9192858954943975
1,0,10,47.841780702929235,3.3448793311881135
2,-1,9,48.043056943559215,0.601932802620752
3,-2,-7,49.71539923346234,0.050013008137582575
4,-2,0,49.886346226118185,2.1402965209410234
3,-3,6,51.14496242786888,0.7830587368721016
4,-2,3,51.729855224214,0.350803823202426
4,-3,1,52.123404739457094,0.019184493432164
4,-3,-2,52.718998304298175,0.504901106116348
2,-3,8,52.76209078324343,1.3325551947671583
2,0,-10,53.95366406255654,1.7858075003998497
0,0,12,54.7474758104524,0.04549961846403167
4,-3,4,55.03695689725162,2.758725534321611
4,-3,-5,56.713287739611225,0.013671171443118418
4,-2,6,56.903155155897586,2.59006510907257
4,-4,2,58.32199128250533,0.26786376737685386
3,-1,10,59.44038821141093,2.901216737796595
2,-1,12,60.161848314061174,0.1908694600512409
4,-4,-4,60.42539622921779,0.9121948192359497
4,-3,7,60.958548956144085,0.010904897697063947
5,-3,-1,62.9378510240803,0.03160651127989333
3,-1,-11,63.01003074710076,0.021376564710198453
5,-3,2,63.43198366837239,0.0758093741729809
4,-3,-8,63.46780281146725,1.1623425467127797
4,-2,9,64.61130686904711,0.1718665137401564
5,-3,-4,65.37117403264226,2.7646256028500336
1,0,-14,65.47539018011183,1.3436562122407463
5,-4,0,65.99343296598714,2.289915795978177
5,-3,5,66.78862759581159,0.029361010146459414
5,-4,3,67.39780097571614,0.2849626909915544
4,0,-8,68.19328323715851,0.6819466102233408
4,-1,-10,69.11934259394621,3.0358813551617345
3,0,-12,69.74074678737081,0.12647924487299428
2,-2,-14,70.06560214674472,1.6175038598980935
5,-2,7,70.42917336398804,0.029967178400315583
3,-2,-13,70.49368300745778,0.02033790220641445
5,-4,6,71.4454667669003,3.8806161708351237
4,-3,-11,72.2121024804475,0.010080133308807065
5,-5,-2,72.5805781321748,0.03757911442536872
5,-3,8,72.61188445159208,0.6883523417817029
2,-1,15,72.8383238968206,0.22398838995963236
4,-4,-10,73.48227953437033,1.93406120433138
4,-2,-12,74.06708882768517,0.17261107930504752
5,-5,4,74.28131773401755,1.6520112347414224
