0,AlFe2O4_Fd-3mS,cubic,8.273,8.273,8.273,90.0,90.0,90.0
1,1,1,13.15459468802769,1.558228129015786
2,2,0,21.48136317252927,11.92745618105111
1,1,-3,25.18913109173048,31.57689648231431
2,2,2,26.30918937605538,0.5611809094332642
4,0,0,30.379235136852827,6.842107875936912
3,3,1,33.10500398590038,0.032417412770551164
2,2,-4,37.20681243065966,3.9872562026381004
3,3,3,39.463784064083065,11.92785974351862
4,4,0,42.96272634505854,15.72440294897392
5,3,1,44.93149470479112,0.18382058573699797
6,2,0,48.03378830313599,1.4443918500901185
3,3,-5,49.802491706306924,3.162387348830025
2,2,-6,50.37826218346096,0.8372303961014544
4,4,4,52.61837875211076,0.8707891890872262
7,1,1,54.23778336092715,0.1909143278499263
6,4,2,56.83434477717394,1.9143055039731005
7,3,1,58.336833198734425,5.19150517632083
8,0,0,60.758470273705655,2.201728588979652
7,3,3,62.16618913370081,0.03236659021434567
6,6,0,64.4440895175878,1.1240777266155433
7,5,1,65.77297344013844,3.836203012243693
6,6,2,66.21000797180076,0.5748780494129553
8,4,0,67.93003487045306,1.3200646732472323
5,3,-7,69.19200097487608,0.11519392985165758
6,6,4,71.24562162863809,0.5570586748121419
9,3,1,72.4498582652675,4.245183415189187
4,4,-8,74.41362486131932,8.935373864535563
9,3,3,75.56739327519142,0.09991267783908296
8,6,2,77.45215638541806,3.0547161701392507
3,-7,-7,78.56131293555082,9.901194801644817
6,6,6,78.92756812816613,1.588324712782986#
1,Fe3O4_F-43m,cubic,8.3941,8.3941,8.3941,90.0,90.0,90.0
1,1,1,12.964815984328645,30.81761076719372
2,0,0,14.970479997092212,15.335916568626637
2,2,0,21.17145584712294,12.273050996188362
3,1,1,24.82573254093783,14.978791604033143
2,2,2,25.92963196865729,7.367482442509831
4,0,0,29.940959994184425,10.319222674850328
3,3,1,32.62740472181101,5.5819295770037645
4,2,0,33.47501092929904,5.848817468020419
2,2,-4,36.67003719741811,4.393341191193675
1,1,-5,38.894447952985935,5.2403995569009965
4,4,0,42.34291169424588,20.321604251648683
3,1,-5,44.28327702704721,4.737518633659103
6,0,0,44.91143999127664,2.5988522537878604
6,2,0,47.340814456802285,1.6516082841427746
5,3,3,49.084001130112476,1.4394990047271925
6,2,2,49.65146508187566,3.241859631247614
4,4,4,51.85926393731458,1.4099907766751063
7,1,1,53.4553057200832,2.3612333474205234
6,4,0,53.97683324782396,1.1334019712173204
4,2,-6,56.0144070646716,1.9113547894035023
7,3,1,57.49521938660844,2.3873951182038784
8,0,0,59.88191998836885,2.831093938013143
3,3,-7,61.2693299702299,0.5312600372582066
8,2,0,61.72487029420755,1.4326361689970915
2,2,-8,63.51436754136881,1.0859696349865193
7,5,1,64.82407992164322,1.6525266878345097
6,6,2,65.25480944362202,1.740709811553698
8,4,0,66.95002185859808,2.154997625951224
9,1,1,68.19378183070846,2.06917809983437
4,2,-8,68.60335777649735,1.3322754501726928
6,6,4,70.21777531048272,0.6562345140951991
9,3,1,71.40463866627252,1.6711077179746396
4,4,-8,73.34007439483622,10.833232953037971
7,7,1,74.47719762281349,2.329193977141286
10,0,0,74.85239998546106,1.0129443182377127
10,2,0,76.33476963302365,2.792502363401226
7,7,3,77.42792460368734,3.5123479920771095
2,2,-10,77.78889590597187,3.7950792249180654#
2,Fe2O3_Pna21,orthohombic,5.095,8.789,9.437,90.0,90.0,90.0
0,0,2,13.316065078265522,1.6891315181498714
1,1,0,14.25436034600697,0.3014669459663789
0,2,0,14.297838905858658,0.6542551353500694
1,1,1,15.732647144265538,0.5764225849551159
1,2,0,18.881417767403754,1.4122085400193438
1,1,2,19.506521423421926,2.249947970834263
0,2,2,19.538315857475745,4.537870727586474
1,2,1,20.020922411302152,0.3108381707360978
0,1,3,21.21489158524802,5.725322808750171
1,2,2,23.104664595614295,13.033535492257652
1,1,-3,24.53877267719744,1.9271347158512593
2,0,0,24.66412289373734,1.4453697990571173
1,-3,0,24.739506535692797,2.7680497513775277
2,0,1,25.546983293718437,2.7412231726309897
1,3,1,25.619769337793375,5.480701903433459
2,1,0,25.679291412767796,0.6185640458218855
2,1,1,26.528388657323315,0.1479433565919865
0,0,4,26.632130156531044,1.1537846839490655
1,2,-3,27.485860229153932,1.3651168976194346
2,0,2,28.029208823760634,0.9687225051413234
1,-3,2,28.0955650022951,1.9119764647789637
2,2,0,28.50872069201394,0.05303930864883662
0,4,0,28.595677811717316,0.08818052609074821
2,1,2,28.92652064508368,6.789497875171382
2,2,1,29.275869804113665,0.10503343892748797
0,3,3,29.307473786213613,0.00011960827884175608
1,1,4,30.20690559372519,0.0831763633573883
0,2,4,30.22744703166802,0.1708687362453749
1,4,0,31.14149208115897,0.34875093182390027
2,2,2,31.465294288531076,0.5895433940049406
0,4,2,31.544102121952125,1.1399612354325523
2,0,3,31.73773044416904,1.8784397879721162
1,3,3,31.796348206341914,3.758439746627417
1,4,1,31.84528106851998,0.08286546499810925
2,1,3,32.53291537952302,0.8272282577080415
1,2,4,32.64626002441383,0.5894721935283077
1,4,2,33.86901413105332,4.1407580530529335
0,1,-5,34.049111319507844,0.6578532992940592
2,2,3,34.80964997130278,0.6441879045282936
2,3,2,35.29305868561442,0.00018620487058614813
1,1,-5,36.213557146151516,0.26377724982426004
2,0,4,36.29861312490863,1.426700469074334
1,-3,-4,36.349876757755275,2.801325017745105
0,5,1,36.35939535943819,0.10430373615102187
2,1,4,36.99589658511143,0.3841587468573951
1,-4,-3,36.99671748507213,0.525212728218479
3,1,0,37.680561369339664,0.07783574819650543
