xcenter,ycenter,dwell,Tpeak,power,Sample,x,y,Ta.nmol_offgrid,Ta.nmol_ongrid,Sn.nmol_offgrid,Sn.nmol_ongrid,Ta.nmol_relRatio,Sn.nmol_relRatio
42,-10,7354,1100,33.1638760826703,10628,91.939,37.423,91.1,92,3.2,3.29,1.01,1.03
42,-5,2507,1288,39.5414313559926,12478,91.939,42.503,96.6,95.4,3,3,0.987,0.999
42,0,462,950,42.2360697969697,14143,91.939,47.075,100,101,2.93,2.89,1,0.987
42,5,8575,1175,33.9548511060191,15993,91.939,52.155,98.6,98.9,3.08,2.94,1,0.952
42,10,340,1212,50.6907817489636,17843,91.939,57.235,91.2,91.9,2.98,3.27,1.01,1.1
42,15,7354,725,24.7767295105719,19690,91.939,62.315,82.9,83.2,3.4,3.47,1,1.02
44,-10,4637,1025,33.2354134944129,10632,93.971,37.423,96.9,96.2,2.91,2.92,0.992,1.01
44,-5,629,650,31.8914650182435,12482,93.971,42.503,103,104,2.71,2.65,1.01,0.978
44,0,5407,1100,34.1064719279549,14147,93.971,47.075,106,106,2.54,2.66,1,1.05
44,5,10000,725,23.9534398114434,15997,93.971,52.155,105,104,2.74,2.64,0.999,0.965
44,10,855,1362,46.1592518488083,17847,93.971,57.235,96.8,96.6,2.7,3.09,0.997,1.14
